communities,Avg_rent_sq.ft_AED,size_sqft,size_sqr_meter,rent_AED
Abu Hail,84,967,89.83649201,81228
Al Awir First,82,2640,245.2619844,216480
Al Awir Second,82,1576,146.4139725,129232
Al Bada,141,2534,235.4143441,357294
Al Baraha,157,876,81.38238573,137532
Al Barsha First,169,1788,166.1092531,302172
Al Barsha Second,87,2056,191.0070606,178872
Al Barsha South First,110,3358,311.965812,369380
Al Barsha South Second,82,1627,151.1519881,133414
Al Barsha South Third,82,1693,157.2835377,138826
Al Barsha Third,110,2994,278.1493868,329340
Al Buteen,365,2268,210.7023411,827820
Al Dhagaya,228,1269,117.8929766,289332
Al Garhoud,91,1154,107.2092159,105014
Al Guoz Fourth,114,2348,218.1345225,267672
"Al Hamriya, Dubai",175,3416,317.3541434,597800
Al Hamriya Port,110,2387,221.7577109,262570
Al Hudaiba,124,3124,290.2266815,387376
Al Jaddaf,127,3072,285.3957637,390144
Al Jafiliya,85,2591,240.7097733,220235
Al Karama,122,3183,295.7079153,388326
Al Khabisi,86,1242,115.3846154,106812
Al Khwaneej First,97,2164,201.0405054,209908
Al Khwaneej Second,97,1457,135.3586027,141329
Al Kifaf,86,2171,201.6908213,186706
Al Mamzar,95,1471,136.6592345,139745
Al Manara,202,1173,108.974359,236946
Al Mankhool,120,1022,94.94611669,122640
Al Merkad,90,2929,272.1107395,263610
Al Mina,85,3281,304.8123374,278885
Al Mizhar First,100,2148,199.5540691,214800
Al Mizhar Second,100,2131,197.9747306,213100
Al Muraqqabat,143,2282,212.0029729,326326
Al Murar,84,1930,179.301375,162120
Al Mushrif,154,2470,229.468599,380380
Al Muteena,124,1205,111.9472315,149420
Al Nahda First,150,1843,171.2188777,276450
Al Nahda Second,150,2554,237.2723894,383100
"Al Nasr, Dubai",195,3267,303.5117057,637065
Al Quoz First,110,2050,190.449647,225500
Al Quoz Industrial First,110,1346,125.0464511,148060
Al Quoz Industrial Fourth,110,3291,305.7413601,362010
Al Quoz Industrial Second,110,976,90.67261241,107360
Al Quoz Industrial Third,110,1113,103.400223,122430
Al Quoz Second,140,3452,320.698625,483280
Al Quoz Third,140,2458,228.3537718,344120
Al Qusais First,140,3161,293.6640654,442540
Al Qusais Industrial Fifth,87,985,91.50873281,85695
Al Qusais Industrial First,87,1192,110.739502,103704
Al Qusais Industrial Fourth,87,2141,198.9037533,186267
Al Qusais Industrial Second,87,1656,153.8461538,144072
Al Qusais Industrial Third,87,3385,314.4741732,294495
Al Qusais Second,87,2512,233.3704942,218544
Al Qusais Third,87,2996,278.3351914,260652
Al Raffa,160,1737,161.3712375,277920
Al Ras,230,1326,123.1884058,304980
Al Rashidiya,100,2536,235.6001486,253600
Al Rigga,143,2619,243.3110368,374517
Al Sabkha,270,2313,214.8829431,624510
Al Safa First,102,2960,274.9907098,301920
Al Safa Second,102,1262,117.2426607,128724
Al Safouh First,90,1276,118.5432925,114840
Al Safouh Second,100,3028,281.3080639,302800
Al Satwa,143,2726,253.2515793,389818
Al Shindagha,90,2919,271.1817168,262710
Al Souq Al Kabeer,118,2494,231.6982534,294292
Al Twar First,165,3148,292.4563359,519420
Al Twar Second,165,2183,202.8056485,360195
Al Twar Third,165,3374,313.4522482,556710
Al Warqa'a Fifth,112,2746,255.1096247,307552
Al Warqa'a First,112,1612,149.7584541,180544
Al Warqa'a Fourth,112,2293,213.0248978,256816
